Model name,XAI method,Model type,Metric name,Metric value,Image,Image class,Prediction
ResNet18,GradCAM,FDA,Deletion,0.9630014225840569,33,River,True
ResNet18,GradCAM,FDA,Deletion,0.9952567908912897,34,River,True
ResNet18,GradCAM,FDA,Deletion,0.9707853798754513,35,River,True
ResNet18,GradCAM,FDA,Deletion,0.034997108046809444,36,River,False
ResNet18,GradCAM,FDA,Deletion,0.9523970038280822,37,River,True
ResNet18,GradCAM,FDA,Deletion,0.9471664254087955,38,River,True
ResNet18,GradCAM,FDA,Deletion,0.9947806992568076,39,River,True
ResNet18,GradCAM,FDA,Deletion,0.9824145846068859,40,River,True
ResNet18,GradCAM,FDA,Deletion,0.9601639410684584,41,River,True
ResNet18,GradCAM,FDA,Deletion,0.996684349142015,42,River,True
ResNet18,GradCAM,FDA,Deletion,0.999648176599294,43,River,True
ResNet18,GradCAM,FDA,Deletion,0.009563172202661008,44,River,False
ResNet18,GradCAM,FDA,Deletion,0.9974333764985204,45,River,True
ResNet18,GradCAM,FDA,Deletion,0.9885118892416358,46,River,True
ResNet18,GradCAM,FDA,Deletion,0.9477793545775057,47,River,True
ResNet18,GradCAM,FDA,Deletion,0.9808804984786548,48,River,True
ResNet18,GradCAM,FDA,Deletion,0.985478869988583,49,River,True
ResNet18,GradCAM,FDA,Deletion,0.9986073379404843,50,River,True
ResNet18,GradCAM,FDA,Deletion,0.9868427207693458,51,River,True
ResNet18,GradCAM,FDA,Deletion,0.8711221174744423,52,River,True
ResNet18,GradCAM,FDA,Deletion,0.9682203225656849,53,River,True
ResNet18,GradCAM,FDA,Deletion,0.9951448789797723,54,River,True
ResNet18,GradCAM,FDA,Deletion,0.9842305174097419,55,River,True
ResNet18,GradCAM,FDA,Deletion,0.8415630019735545,56,River,True
ResNet18,GradCAM,FDA,Deletion,0.9573938318062574,57,River,True
ResNet18,GradCAM,FDA,Deletion,0.9646455271285959,58,River,True
ResNet18,GradCAM,FDA,Deletion,0.9070717187787523,59,River,True
ResNet18,GradCAM,FDA,Deletion,0.9861151501536369,60,River,True
ResNet18,GradCAM,FDA,Deletion,0.02908777517541239,61,River,False
ResNet18,GradCAM,FDA,Deletion,0.9964861562475562,62,River,True
ResNet18,GradCAM,FDA,Deletion,0.9920301912352443,63,River,True
ResNet18,GradCAM,FDA,Deletion,0.9475134131498635,64,River,True
ResNet18,GradCAM,FDA,Deletion,0.9667956018820405,65,River,True
ResNet18,GradCAM,FDA,Deletion,0.9976906315423548,66,River,True
ResNet18,GradCAM,FDA,Deletion,0.9588644220784772,67,River,True
ResNet18,GradCAM,FDA,Deletion,0.11026587777951136,68,River,False
ResNet18,GradCAM,FDA,Deletion,0.9940074691548944,69,River,True
ResNet18,GradCAM,FDA,Deletion,0.9609751540701836,70,River,True
ResNet18,GradCAM,FDA,Deletion,0.9832094343146309,71,River,True
ResNet18,GradCAM,FDA,Deletion,0.9955222429707646,72,River,True
ResNet18,GradCAM,FDA,Deletion,0.9477682346478105,73,River,True
ResNet18,GradCAM,FDA,Deletion,0.9756944165565073,74,River,True
ResNet18,GradCAM,FDA,Deletion,0.06442396869874756,75,River,False
ResNet18,GradCAM,FDA,Deletion,0.9997042147442698,76,River,True
ResNet18,GradCAM,FDA,Deletion,0.997777858749032,77,River,True
ResNet18,GradCAM,FDA,Deletion,0.9942274428904057,78,River,True
ResNet18,GradCAM,FDA,Deletion,0.9946177615784109,79,River,True
ResNet18,GradCAM,FDA,Deletion,0.9663093010894954,80,River,True
ResNet18,GradCAM,FDA,Deletion,0.9969545691274107,81,River,True
ResNet18,GradCAM,FDA,Deletion,0.998460984788835,82,River,True
ResNet18,GradCAM,FDA,Deletion,0.9953727023676038,83,River,True
ResNet18,GradCAM,FDA,Deletion,0.9920761054381728,84,River,True
ResNet18,GradCAM,FDA,Deletion,0.9945930978283286,85,River,True
ResNet18,GradCAM,FDA,Deletion,0.011196650230544947,86,River,False
ResNet18,GradCAM,FDA,Deletion,0.9798221797682345,87,River,True
ResNet18,GradCAM,FDA,Deletion,0.9737077504396439,88,River,True
ResNet18,GradCAM,FDA,Deletion,0.9894798658788204,89,River,True
ResNet18,GradCAM,FDA,Deletion,0.995924977120012,90,River,True
ResNet18,GradCAM,FDA,Deletion,0.9973647529259324,91,River,True
ResNet18,GradCAM,FDA,Deletion,0.9952591923065484,92,River,True
ResNet18,GradCAM,FDA,Deletion,0.9870270984247327,93,River,True
ResNet18,GradCAM,FDA,Deletion,0.9320933411145234,94,River,True
ResNet18,GradCAM,FDA,Deletion,0.9410508529372237,95,River,True
ResNet18,GradCAM,FDA,Deletion,0.9823740618303418,96,River,True
ResNet18,GradCAM,FDA,Deletion,0.9741539444366936,97,River,True
ResNet18,GradCAM,FDA,Deletion,0.9662821139208972,98,River,True
ResNet18,GradCAM,FDA,Deletion,0.9500494244421134,99,River,True
ResNet18,GradCAM,FDA,Deletion,0.9946032632142305,100,River,True
ResNet18,GradCAM,FDA,Deletion,0.9975411156192422,101,River,True
ResNet18,GradCAM,FDA,Deletion,0.9919717162847519,102,River,True
ResNet18,GradCAM,FDA,Deletion,0.9763356569455937,103,River,True
ResNet18,GradCAM,FDA,Deletion,0.9808196611702442,104,River,True
ResNet18,GradCAM,FDA,Deletion,0.9825059568975121,105,River,True
ResNet18,GradCAM,FDA,Deletion,0.953588913398562,106,River,True
ResNet18,GradCAM,FDA,Deletion,0.9106011879630387,107,River,True
ResNet18,GradCAM,FDA,Deletion,0.9587606812128797,108,River,True
ResNet18,GradCAM,FDA,Deletion,0.9497918229685638,109,River,True
ResNet18,GradCAM,FDA,Deletion,0.9707756057614461,110,River,True
ResNet18,GradCAM,Flow,Deletion,0.04085217671634922,1,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.024354301969750303,2,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.019698232491805356,3,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.014122054678836093,4,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.013460638873114661,5,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.012258099517964638,6,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.016556980262535603,7,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.9850188763812184,8,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.8915365217253566,9,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.024987327545204607,10,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.9593280738918111,11,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.042523081076637936,12,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.8698402575682849,13,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.01750243331335355,14,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.024499873216697665,15,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.019344532071158937,16,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.9741798061877489,17,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.044300902558887856,18,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.013528848533951532,19,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.026003590551226807,20,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.9130885344929993,21,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.02262331050585331,22,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.05980676092348958,23,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.16110776093330514,24,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.03145296422569288,25,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.015641967800441137,26,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.011134810161365749,27,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.02923829795963684,28,Highway,True
ResNet18,GradCAM,Flow,Deletion,0.8791613716166466,29,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.9441641485318542,30,Highway,False
ResNet18,GradCAM,Flow,Deletion,0.9639970273710787,31,River,True
ResNet18,GradCAM,Flow,Deletion,0.8967660497874022,32,River,True
ResNet18,GradCAM,Flow,Deletion,0.9796813651919365,33,River,True
ResNet18,GradCAM,Flow,Deletion,0.9624780616723001,34,River,True
ResNet18,GradCAM,Flow,Deletion,0.9887890061363578,35,River,True
ResNet18,GradCAM,Flow,Deletion,0.8624587287195027,36,River,True
ResNet18,GradCAM,Flow,Deletion,0.8751383838243783,37,River,True
ResNet18,GradCAM,Flow,Deletion,0.9667043411172926,38,River,True
ResNet18,GradCAM,Flow,Deletion,0.9325442374683917,39,River,True
ResNet18,GradCAM,Flow,Deletion,0.9335473235696554,40,River,True
ResNet18,GradCAM,Flow,Deletion,0.9772315816953778,41,River,True
ResNet18,GradCAM,Flow,Deletion,0.9660299657844007,42,River,True
ResNet18,GradCAM,Flow,Deletion,0.9373787175863981,43,River,True
ResNet18,GradCAM,Flow,Deletion,0.9754787189885974,44,River,True
ResNet18,GradCAM,Flow,Deletion,0.8623041682876647,45,River,True
ResNet18,GradCAM,Flow,Deletion,0.9569138796068728,46,River,True
ResNet18,GradCAM,Flow,Deletion,0.9302531545981765,47,River,True
ResNet18,GradCAM,Flow,Deletion,0.8655733428895473,48,River,True
ResNet18,GradCAM,Flow,Deletion,0.8493474470451474,49,River,True
ResNet18,GradCAM,Flow,Deletion,0.9540068740025163,50,River,True
