Model name,Augmentation method,Seed,Config,Metric name,Metric value,Mapping,Method
Vgg16,FDA,7,Config_2,Err_nor_hw,2.459016393442623,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_nor_rv,4.266211604095563,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_hw,2.56,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_rv,4.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_bl_hw,13.333333333333334,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_bl,3.7037037037037033,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_nor,2.4247491638795986,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_nor_hw,2.459016393442623,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_nor_rv,2.3890784982935154,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_hw,2.7199999999999998,"(200, 1000, 'CE')",Aug
Vgg16,FDA,8,Config_2,Err_rv,2.2399999999999998,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_bl_hw,6.666666666666667,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_bl_rv,5.128205128205128,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_bl,5.555555555555555,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_nor,3.8461538461538463,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_nor_hw,3.7704918032786887,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_nor_rv,3.9249146757679183,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_hw,3.84,"(200, 1000, 'CE')",Aug
Vgg16,FDA,9,Config_2,Err_rv,4.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_bl,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_nor,4.1806020066889635,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_nor_hw,2.622950819672131,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_nor_rv,5.802047781569966,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_hw,2.56,"(200, 1000, 'CE')",Aug
Vgg16,FDA,10,Config_2,Err_rv,5.4399999999999995,"(200, 1000, 'CE')",Aug
Vgg16,FDA,1,Config_3,Err_bl_hw,6.666666666666667,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_bl_rv,0.0,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_bl,1.8518518518518516,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_nor,9.698996655518394,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_nor_hw,13.60655737704918,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_nor_rv,5.631399317406143,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_hw,13.44,"(0, 0, 'BC')",BC
Vgg16,FDA,1,Config_3,Err_rv,5.28,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_bl_hw,6.666666666666667,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_bl_rv,5.128205128205128,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_bl,5.555555555555555,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_nor,9.11371237458194,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_nor_hw,11.311475409836065,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_nor_rv,6.825938566552901,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_hw,11.200000000000001,"(0, 0, 'BC')",BC
Vgg16,FDA,2,Config_3,Err_rv,6.72,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_bl_hw,13.333333333333334,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_bl_rv,0.0,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_bl,3.7037037037037033,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_nor,10.785953177257525,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_nor_hw,10.819672131147541,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_nor_rv,10.750853242320819,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_hw,10.879999999999999,"(0, 0, 'BC')",BC
Vgg16,FDA,3,Config_3,Err_rv,10.08,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_bl_hw,6.666666666666667,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_bl_rv,61.53846153846154,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_bl,46.2962962962963,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_nor,16.722408026755854,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_nor_hw,11.639344262295081,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_nor_rv,22.013651877133107,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_hw,11.52,"(0, 0, 'BC')",BC
Vgg16,FDA,4,Config_3,Err_rv,24.48,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_bl_hw,0.0,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_bl_rv,5.128205128205128,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_bl,3.7037037037037033,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_nor,6.103678929765886,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_nor_hw,5.901639344262295,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_nor_rv,6.313993174061433,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_hw,5.76,"(0, 0, 'BC')",BC
Vgg16,FDA,5,Config_3,Err_rv,6.239999999999999,"(0, 0, 'BC')",BC
Vgg16,FDA,6,Config_3,Err_bl_hw,0.0,"(0, 0, 'BC')",BC
Vgg16,FDA,6,Config_3,Err_bl_rv,7.6923076923076925,"(0, 0, 'BC')",BC
Vgg16,FDA,6,Config_3,Err_bl,5.555555555555555,"(0, 0, 'BC')",BC
Vgg16,FDA,6,Config_3,Err_nor,7.5250836120401345,"(0, 0, 'BC')",BC
